,Endpoint,Provider,State,City,Country,IP,geo_response,ip,type,continent_code,continent_name,country_code,country_name,region_code,region_name,city,zip,latitude,longitude,location.geoname_id,location.capital,location.languages,location.country_flag,location.country_flag_emoji,location.country_flag_emoji_unicode,location.calling_code,location.is_eu,success,error.code,error.type,error.info
13,https://ec2.ap-southeast-3.amazonaws.com/ping,AWS,Jakarta,Jakarta,Indonesia,99.78.244.123,"{'ip': '99.78.244.123', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'ID', 'country_name': 'Indonesia', 'region_code': 'JK', 'region_name': 'Jakarta', 'city': 'Jakarta', 'zip': '10110', 'latitude': -6.21150016784668, 'longitude': 106.84519958496094, 'location': {'geoname_id': 1642911, 'capital': 'Jakarta', 'languages': [{'code': 'id', 'name': 'Indonesian', 'native': 'Bahasa Indonesia'}], 'country_flag': 'https://assets.ipstack.com/flags/id.svg', 'country_flag_emoji': '🇮🇩', 'country_flag_emoji_unicode': 'U+1F1EE U+1F1E9', 'calling_code': '62', 'is_eu': False}}",99.78.244.123,ipv4,AS,Asia,ID,Indonesia,JK,Jakarta,Jakarta,10110,-6.21150016784668,106.84519958496094,1642911.0,Jakarta,"[{'code': 'id', 'name': 'Indonesian', 'native': 'Bahasa Indonesia'}]",https://assets.ipstack.com/flags/id.svg,🇮🇩,U+1F1EE U+1F1E9,62,False,,,,
14,https://ec2.ap-northeast-1.amazonaws.com/ping,AWS,Tokyo,Tokyo,Japan,99.77.58.81,"{'ip': '99.77.58.81', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'JP', 'country_name': 'Japan', 'region_code': '13', 'region_name': 'Tokyo', 'city': 'Tokyo', 'zip': '162-0843', 'latitude': 35.68949890136719, 'longitude': 139.6916961669922, 'location': {'geoname_id': 1850147, 'capital': 'Tokyo', 'languages': [{'code': 'ja', 'name': 'Japanese', 'native': '日本語'}], 'country_flag': 'https://assets.ipstack.com/flags/jp.svg', 'country_flag_emoji': '🇯🇵', 'country_flag_emoji_unicode': 'U+1F1EF U+1F1F5', 'calling_code': '81', 'is_eu': False}}",99.77.58.81,ipv4,AS,Asia,JP,Japan,13,Tokyo,Tokyo,162-0843,35.68949890136719,139.6916961669922,1850147.0,Tokyo,"[{'code': 'ja', 'name': 'Japanese', 'native': '日本語'}]",https://assets.ipstack.com/flags/jp.svg,🇯🇵,U+1F1EF U+1F1F5,81,False,,,,
15,https://ec2.ca-central-1.amazonaws.com/ping,AWS,Canada Central,Montreal,Canada,52.94.108.110,"{'ip': '52.94.108.110', 'type': 'ipv4', 'continent_code': 'NA', 'continent_name': 'North America', 'country_code': 'CA', 'country_name': 'Canada', 'region_code': 'QC', 'region_name': 'Quebec', 'city': 'Montréal', 'zip': 'H2Y 2J7', 'latitude': 45.52000045776367, 'longitude': -73.56999969482422, 'location': {'geoname_id': 6077243, 'capital': 'Ottawa', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'fr', 'name': 'French', 'native': 'Français'}], 'country_flag': 'https://assets.ipstack.com/flags/ca.svg', 'country_flag_emoji': '🇨🇦', 'country_flag_emoji_unicode': 'U+1F1E8 U+1F1E6', 'calling_code': '1', 'is_eu': False}}",52.94.108.110,ipv4,NA,North America,CA,Canada,QC,Quebec,Montréal,H2Y 2J7,45.52000045776367,-73.56999969482422,6077243.0,Ottawa,"[{'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'fr', 'name': 'French', 'native': 'Français'}]",https://assets.ipstack.com/flags/ca.svg,🇨🇦,U+1F1E8 U+1F1E6,1,False,,,,
16,https://ec2.eu-south-1.amazonaws.com/ping,AWS,Milan,Milan,Italy,52.119.132.74,"{'ip': '52.119.132.74', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'IT', 'country_name': 'Italy', 'region_code': '25', 'region_name': 'Lombardy', 'city': 'Milan', 'zip': '20121', 'latitude': 45.465999603271484, 'longitude': 9.186670303344727, 'location': {'geoname_id': 3173435, 'capital': 'Rome', 'languages': [{'code': 'it', 'name': 'Italian', 'native': 'Italiano'}], 'country_flag': 'https://assets.ipstack.com/flags/it.svg', 'country_flag_emoji': '🇮🇹', 'country_flag_emoji_unicode': 'U+1F1EE U+1F1F9', 'calling_code': '39', 'is_eu': True}}",52.119.132.74,ipv4,EU,Europe,IT,Italy,25,Lombardy,Milan,20121,45.465999603271484,9.186670303344727,3173435.0,Rome,"[{'code': 'it', 'name': 'Italian', 'native': 'Italiano'}]",https://assets.ipstack.com/flags/it.svg,🇮🇹,U+1F1EE U+1F1F9,39,True,,,,
17,https://ec2.eu-central-1.amazonaws.com/ping,AWS,Frankfurt,Frankfurt,Germany,52.94.141.11,"{'ip': '52.94.141.11', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'DE', 'country_name': 'Germany', 'region_code': 'HE', 'region_name': 'Hesse', 'city': 'Frankfurt am Main', 'zip': '60311', 'latitude': 50.11090087890625, 'longitude': 8.682100296020508, 'location': {'geoname_id': 2925533, 'capital': 'Berlin', 'languages': [{'code': 'de', 'name': 'German', 'native': 'Deutsch'}], 'country_flag': 'https://assets.ipstack.com/flags/de.svg', 'country_flag_emoji': '🇩🇪', 'country_flag_emoji_unicode': 'U+1F1E9 U+1F1EA', 'calling_code': '49', 'is_eu': True}}",52.94.141.11,ipv4,EU,Europe,DE,Germany,HE,Hesse,Frankfurt am Main,60311,50.11090087890625,8.682100296020508,2925533.0,Berlin,"[{'code': 'de', 'name': 'German', 'native': 'Deutsch'}]",https://assets.ipstack.com/flags/de.svg,🇩🇪,U+1F1E9 U+1F1EA,49,True,,,,
19,https://ec2.eu-west-1.amazonaws.com/ping,AWS,Ireland,Dublin,Ireland,52.95.122.167,"{'ip': '52.95.122.167', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'IE', 'country_name': 'Ireland', 'region_code': 'L', 'region_name': 'Leinster', 'city': 'Dublin', 'zip': None, 'latitude': 53.35388946533203, 'longitude': -6.243330001831055, 'location': {'geoname_id': 2964574, 'capital': 'Dublin', 'languages': [{'code': 'ga', 'name': 'Irish', 'native': 'Gaeilge'}, {'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/ie.svg', 'country_flag_emoji': '🇮🇪', 'country_flag_emoji_unicode': 'U+1F1EE U+1F1EA', 'calling_code': '353', 'is_eu': True}}",52.95.122.167,ipv4,EU,Europe,IE,Ireland,L,Leinster,Dublin,,53.35388946533203,-6.243330001831055,2964574.0,Dublin,"[{'code': 'ga', 'name': 'Irish', 'native': 'Gaeilge'}, {'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/ie.svg,🇮🇪,U+1F1EE U+1F1EA,353,True,,,,
20,https://ec2.eu-west-2.amazonaws.com/ping,AWS,London,London,United Kingdom,52.94.56.52,"{'ip': '52.94.56.52', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'GB', 'country_name': 'United Kingdom', 'region_code': 'ENG', 'region_name': 'England', 'city': 'Canning Town', 'zip': None, 'latitude': 51.50019836425781, 'longitude': -0.12620000541210175, 'location': {'geoname_id': 11549407, 'capital': 'London', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/gb.svg', 'country_flag_emoji': '🇬🇧', 'country_flag_emoji_unicode': 'U+1F1EC U+1F1E7', 'calling_code': '44', 'is_eu': True}}",52.94.56.52,ipv4,EU,Europe,GB,United Kingdom,ENG,England,Canning Town,,51.50019836425781,-0.12620000541210175,11549407.0,London,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/gb.svg,🇬🇧,U+1F1EC U+1F1E7,44,True,,,,
21,https://ec2.eu-west-3.amazonaws.com/ping,AWS,Paris,Paris,France,52.46.72.50,"{'ip': '52.46.72.50', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'FR', 'country_name': 'France', 'region_code': 'IDF', 'region_name': 'Île-de-France', 'city': 'Saint-Ouen', 'zip': '75001', 'latitude': 48.861000061035156, 'longitude': 2.3380000591278076, 'location': {'geoname_id': 2977824, 'capital': 'Paris', 'languages': [{'code': 'fr', 'name': 'French', 'native': 'Français'}], 'country_flag': 'https://assets.ipstack.com/flags/fr.svg', 'country_flag_emoji': '🇫🇷', 'country_flag_emoji_unicode': 'U+1F1EB U+1F1F7', 'calling_code': '33', 'is_eu': True}}",52.46.72.50,ipv4,EU,Europe,FR,France,IDF,Île-de-France,Saint-Ouen,75001,48.861000061035156,2.3380000591278076,2977824.0,Paris,"[{'code': 'fr', 'name': 'French', 'native': 'Français'}]",https://assets.ipstack.com/flags/fr.svg,🇫🇷,U+1F1EB U+1F1F7,33,True,,,,
22,https://ec2.eu-north-1.amazonaws.com/ping,AWS,Stockholm,Stockholm,Sweden,52.46.192.128,"{'ip': '52.46.192.128', 'type': 'ipv4', 'continent_code': 'EU', 'continent_name': 'Europe', 'country_code': 'SE', 'country_name': 'Sweden', 'region_code': 'AB', 'region_name': 'Stockholm', 'city': 'Stockholm', 'zip': '118 58', 'latitude': 59.293609619140625, 'longitude': 18.037790298461914, 'location': {'geoname_id': 2673730, 'capital': 'Stockholm', 'languages': [{'code': 'sv', 'name': 'Swedish', 'native': 'Svenska'}], 'country_flag': 'https://assets.ipstack.com/flags/se.svg', 'country_flag_emoji': '🇸🇪', 'country_flag_emoji_unicode': 'U+1F1F8 U+1F1EA', 'calling_code': '46', 'is_eu': True}}",52.46.192.128,ipv4,EU,Europe,SE,Sweden,AB,Stockholm,Stockholm,118 58,59.293609619140625,18.037790298461914,2673730.0,Stockholm,"[{'code': 'sv', 'name': 'Swedish', 'native': 'Svenska'}]",https://assets.ipstack.com/flags/se.svg,🇸🇪,U+1F1F8 U+1F1EA,46,True,,,,
23,https://ec2.me-south-1.amazonaws.com/ping,AWS,Bahrain,Manama,Bahrain,99.82.128.102,"{'ip': '99.82.128.102', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'BH', 'country_name': 'Bahrain', 'region_code': '13', 'region_name': 'Manama', 'city': 'Manama', 'zip': None, 'latitude': 26.227779388427734, 'longitude': 50.584720611572266, 'location': {'geoname_id': 290340, 'capital': 'Manama', 'languages': [{'code': 'ar', 'name': 'Arabic', 'native': 'العربية'}], 'country_flag': 'https://assets.ipstack.com/flags/bh.svg', 'country_flag_emoji': '🇧🇭', 'country_flag_emoji_unicode': 'U+1F1E7 U+1F1ED', 'calling_code': '973', 'is_eu': False}}",99.82.128.102,ipv4,AS,Asia,BH,Bahrain,13,Manama,Manama,,26.227779388427734,50.584720611572266,290340.0,Manama,"[{'code': 'ar', 'name': 'Arabic', 'native': 'العربية'}]",https://assets.ipstack.com/flags/bh.svg,🇧🇭,U+1F1E7 U+1F1ED,973,False,,,,
24,https://ec2.af-south-1.amazonaws.com/ping,AWS,Cape Town,Cape Town,South Africa,99.78.128.100,"{'ip': '99.78.128.100', 'type': 'ipv4', 'continent_code': 'AF', 'continent_name': 'Africa', 'country_code': 'ZA', 'country_name': 'South Africa', 'region_code': 'WC', 'region_name': 'Western Cape', 'city': 'Cape Town', 'zip': '8001', 'latitude': -33.92490005493164, 'longitude': 18.424100875854492, 'location': {'geoname_id': 3369157, 'capital': 'Pretoria', 'languages': [{'code': 'af', 'name': 'Afrikaans', 'native': 'Afrikaans'}, {'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'nr', 'name': 'South Ndebele', 'native': 'isiNdebele'}, {'code': 'st', 'name': 'Southern Sotho', 'native': 'Sesotho'}, {'code': 'ss', 'name': 'Swati', 'native': 'SiSwati'}, {'code': 'tn', 'name': 'Tswana', 'native': 'Setswana'}, {'code': 'ts', 'name': 'Tsonga', 'native': 'Xitsonga'}, {'code': 've', 'name': 'Venda', 'native': 'Tshivenḓa'}, {'code': 'xh', 'name': 'Xhosa', 'native': 'isiXhosa'}, {'code': 'zu', 'name': 'Zulu', 'native': 'isiZulu'}], 'country_flag': 'https://assets.ipstack.com/flags/za.svg', 'country_flag_emoji': '🇿🇦', 'country_flag_emoji_unicode': 'U+1F1FF U+1F1E6', 'calling_code': '27', 'is_eu': False}}",99.78.128.100,ipv4,AF,Africa,ZA,South Africa,WC,Western Cape,Cape Town,8001,-33.92490005493164,18.424100875854492,3369157.0,Pretoria,"[{'code': 'af', 'name': 'Afrikaans', 'native': 'Afrikaans'}, {'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'nr', 'name': 'South Ndebele', 'native': 'isiNdebele'}, {'code': 'st', 'name': 'Southern Sotho', 'native': 'Sesotho'}, {'code': 'ss', 'name': 'Swati', 'native': 'SiSwati'}, {'code': 'tn', 'name': 'Tswana', 'native': 'Setswana'}, {'code': 'ts', 'name': 'Tsonga', 'native': 'Xitsonga'}, {'code': 've', 'name': 'Venda', 'native': 'Tshivenḓa'}, {'code': 'xh', 'name': 'Xhosa', 'native': 'isiXhosa'}, {'code': 'zu', 'name': 'Zulu', 'native': 'isiZulu'}]",https://assets.ipstack.com/flags/za.svg,🇿🇦,U+1F1FF U+1F1E6,27,False,,,,
26,https://ec2.sa-east-1.amazonaws.com/ping,AWS,São Paulo,São Paulo,Brazil,177.72.245.165,"{'ip': '177.72.245.165', 'type': 'ipv4', 'continent_code': 'SA', 'continent_name': 'South America', 'country_code': 'BR', 'country_name': 'Brazil', 'region_code': 'SP', 'region_name': 'São Paulo', 'city': 'São Paulo', 'zip': '01001-000', 'latitude': -23.547500610351562, 'longitude': -46.6361083984375, 'location': {'geoname_id': 3448439, 'capital': 'Brasília', 'languages': [{'code': 'pt', 'name': 'Portuguese', 'native': 'Português'}], 'country_flag': 'https://assets.ipstack.com/flags/br.svg', 'country_flag_emoji': '🇧🇷', 'country_flag_emoji_unicode': 'U+1F1E7 U+1F1F7', 'calling_code': '55', 'is_eu': False}}",177.72.245.165,ipv4,SA,South America,BR,Brazil,SP,São Paulo,São Paulo,01001-000,-23.547500610351562,-46.6361083984375,3448439.0,Brasília,"[{'code': 'pt', 'name': 'Portuguese', 'native': 'Português'}]",https://assets.ipstack.com/flags/br.svg,🇧🇷,U+1F1E7 U+1F1F7,55,False,,,,
28,https://feitsui-bom.oss-ap-south-1.aliyuncs.com/ping.html,Alibaba,Mumbai,Mumbai,India,149.129.143.68,"{'ip': '149.129.143.68', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'IN', 'country_name': 'India', 'region_code': 'MH', 'region_name': 'Maharashtra', 'city': 'Mumbai', 'zip': '400051', 'latitude': 19.058700561523438, 'longitude': 72.84439849853516, 'location': {'geoname_id': 1275339, 'capital': 'New Delhi', 'languages': [{'code': 'hi', 'name': 'Hindi', 'native': 'हिन्दी'}, {'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/in.svg', 'country_flag_emoji': '🇮🇳', 'country_flag_emoji_unicode': 'U+1F1EE U+1F1F3', 'calling_code': '91', 'is_eu': False}}",149.129.143.68,ipv4,AS,Asia,IN,India,MH,Maharashtra,Mumbai,400051,19.058700561523438,72.84439849853516,1275339.0,New Delhi,"[{'code': 'hi', 'name': 'Hindi', 'native': 'हिन्दी'}, {'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/in.svg,🇮🇳,U+1F1EE U+1F1F3,91,False,,,,
